,Title,X Specter,Y Specter,X TFIDF,Y TFIDF
52,Physically-based Dye Advection for Flow Visualization,4.1880202293,8.8963222504,10.5258626938,2.2118692398
53,Extraction Of Feature Lines On Surface Meshes Based On Discrete Morse Theory,3.3251950741,8.3958101273,9.8303995132,3.1060612202
54,Generating Color Palettes using Intuitive Parameters,5.376809597,6.3311138153,6.7561397552,3.0635590553
55,Animating Causal Overlays,8.387670517,5.3431210518,14.2703351974,6.9489388466
56,Visual Comparison of Hierarchically Organized Data,7.920009613,4.8645367622,6.1602063179,7.2232346535
57,Automatic Detection and Visualization of Distinctive Structures in 3D Unsteady Multi-fields,4.3327679634,8.7224416733,10.4283676147,2.5674231052
58,A Four-level Focus+Context Approach to Interactive Visual Analysis of Temporal Features in Large Scientific Data,8.0509338379,6.0854325294,8.6764917374,6.2962994576
59,Concurrent Viewing of Multiple Attribute-Specific Subspaces,6.1074643135,5.1385121346,8.8330011368,5.6638178825
60,Quality Isosurface Mesh Generation Using an Extended Marching Cubes Lookup Table,3.3101804256,7.9171748161,11.4273090363,3.2741172314
61,Computing Local Signed Distance Fields for Large Polygonal Models,3.3143956661,8.2420387268,9.092628479,4.5449895859
62,GPU Local Triangulation: an interpolating surface reconstruction algorithm,3.5492260456,7.7510962486,9.7490549088,3.8730068207
63,Interactive Visualization for Memory Reference Traces,7.9778661728,6.5819969177,9.1435346603,4.2265396118
64,TimeRadarTrees: Visualizing Dynamic Compound Digraphs,7.8410410881,3.7743945122,5.17654562,5.5676474571
65,Code Flows: Visualizing Structural Evolution of Source Code,8.7919273376,5.9780259132,7.4875822067,7.6781330109
66,Raycasting of Light Field Galleries from Volumetric Data,4.0291833878,7.1641974449,10.5483398438,4.2062458992
67,Interaction-Dependent Semantics for Illustrative Volume Rendering,4.5307831764,7.0351514816,10.1220340729,4.999332428
68,Illustrative Hybrid Visualization and Exploration of Anatomical and Functional Brain Data,2.9768900871,5.9243631363,11.4400053024,5.3230018616
69,Exploratory Visualization of Animal Kinematics Using Instantaneous Helical Axes,5.4908037186,7.478392601,13.4292011261,6.1199207306
70,Geometry-driven Visualization of Microscopic Structures in Biology,2.6160712242,5.4842247963,11.894449234,5.2535161972
71,Classification and Uncertainty Visualization of Dendritic Spines from Optical Microscopy Imaging,2.7248916626,5.4864196777,11.5514793396,5.4363956451
72,Visualizing Genome Expression and Regulatory Network Dynamics in Genomic and Metabolic Context,3.4997870922,3.9898457527,13.2800264359,7.2641506195
73,Density Displays for Data Stream Monitoring,7.6952257156,7.1694812775,8.103717804,9.7902336121
74,Visual Analysis and Semantic Exploration of Urban LIDAR Change Detection,6.0919651985,8.963013649,10.3033647537,6.2495594025
75,Towards closing the analysis gap: Visual generation of decision supporting schemes from raw data,8.1075534821,5.9627103806,10.0007734299,7.203473568
76,Investigative Visual Analysis of Global Terrorism,8.3248138428,8.5363960266,11.3005685806,8.9746961594
77,COPERNICUS: Context-Preserving Engine for Route Navigation with Interactive User-modifiable Scaling,8.1783437729,4.2379493713,7.9018778801,4.2365822792
78,Visual Abstractions of Solvent Pathlines near Protein Cavities,2.5005788803,4.2385544777,12.413022995,3.9610848427
79,Sound Tracing: Rendering Listener Specific Acoustic Room Properties,3.9735774994,7.2705864906,11.2195081711,4.1031560898
80,Navigation and Exploration of Interconnected Pathways,3.4208078384,4.2752847672,13.453204155,7.5521025658
81,From Web Data to Visualization via Ontology Mapping,10.9904165268,4.77221632,7.5668597221,8.2588300705
82,Visual Inspection of Multivariate Graphs,8.2376823425,3.4629774094,5.0172343254,5.2809853554
83,Centrality Based Visualization of Small World Graphs,7.7753324509,2.9147601128,5.429564476,5.1945357323
84,Interactive Exploratory Visualization of 2D Vector Fields,5.833214283,6.852118969,9.4098234177,2.6388263702
85,Results of a User Study on 2D Hurricane Visualization,5.6478705406,9.3268356323,9.5310640335,2.5908799171
86,Evaluation of illustration-inspired techniques for time-varying data visualization,5.1272187233,7.5848121643,10.0364265442,6.5036764145
87,Lagrangian Visualization of Flow-Embedded Surface Structures,3.8279531002,9.1313877106,10.0986700058,2.4051849842
88,Discrete Multi-Material Interface Reconstruction for Volume Fraction Data,3.4131700993,7.8816919327,10.1440210342,3.7238473892
89,Topology-Preserving l2-based Vortex Core Line Detection for Flow Visualization,3.8083007336,9.0494651794,9.8019552231,2.2517840862
90,Illustrative Parallel Coordinates,5.8461041451,6.2924780846,8.3514041901,5.7116971016
91,A Screen Space Quality Method for Data Abstraction,4.8747415543,7.0004463196,8.1245622635,6.8172273636
92,Visual Clustering in Parallel Coordinates,6.2909998894,5.9472460747,4.6963467598,5.0336480141
93,Interactive Visualization of Multimodal Volume Data for Neurosurgical Tumor Treatment,2.462703228,6.4737577438,11.8378715515,5.7988929749
94,Virtual Klingler Dissection: Putting Fibers into Context,2.2991538048,7.0913825035,8.9302415848,2.6854543686
95,Abstractive Representation and Exploration of Hierarchically Clustered Diffusion Tensor Fiber Tracts,2.2321975231,7.2579169273,8.9520673752,2.7384696007
96,Interactive Visualization of Function Fields by Range-Space Segmentation,4.3381948471,8.407119751,11.1335000992,10.443113327
97,Lifted Domain Coloring,3.1476624012,8.6152954102,6.9275722504,3.1039886475
98,Efficient and Adaptive Rendering of 2-D Continuous Scatterplots,4.5560860634,7.0408987999,8.70570755,5.424372673
99,Illuminated 3D Scatterplots,4.6057367325,6.8360462189,10.6649675369,4.1024575233
100,Splatting the Lines in Parallel Coordinates,5.8541712761,6.2353744507,8.4567375183,5.3303871155
101,iPCA: An Interactive System for PCA-based Visual Analytics,7.5610108376,5.7671470642,8.9016056061,7.7670650482
102,Instant Volume Visualization using Maximum Intensity Difference Accumulation,3.7780091763,6.8847312927,10.1720724106,5.0440821648
103,Bivariate Transfer Functions on Unstructured Grids,3.5666871071,7.8267817497,10.1854581833,4.5838713646
104,Semi-Automatic Time-Series Transfer Functions via Temporal Clustering and Sequencing,6.8611679077,7.6763758659,10.0555925369,5.1320385933
105,Direct Visualization of Deformation in Volumes,3.3334403038,7.3747262955,10.776974678,4.7829270363
106,The Godel Engine - An interactive approach to visualization in general relativity,4.7854795456,8.9322881699,10.6733875275,4.2728767395
107,Visualisation of Sensor Data from Animal Movement,7.0309410095,8.8257074356,7.699631691,7.4672002792
108,MultiClusterTree: Interactive Visual Exploration of Hierarchical Clusters in Multidimensional Multivariate Data,6.4353051186,5.1520571709,7.3881063461,5.1488642693
109,Selecting good views of high-dimensional data using class consistency,5.9591736794,5.3308691978,8.1150903702,5.3886699677
110,Accelerating Volume Raycasting using Proxy Spheres,4.0991868973,7.5394043922,9.8787813187,4.0649399757
111,Fused Multi-Volume DVR using Binary Space Partitioning,3.7874486446,7.1925430298,10.1778593063,4.3084983826
112,A Directional Occlusion Shading Model for Interactive Direct Volume Rendering,4.0168128014,7.2027187347,10.3343639374,4.3838205338
113,Hierarchical Vortex Regions in Swirling Flow,3.9238796234,9.3056344986,9.9074115753,2.1147637367
114,Smooth Stream Surfaces of Fourth Order Precision,3.6739449501,8.1580038071,10.7506914139,2.7948441505
115,Volume Deformations in Grid-Less Flow Simulations,3.979341507,8.6699590683,10.8581085205,4.6861615181
116,Context-aware Volume Modeling of Skeletal Muscles,2.6127591133,6.8290815353,10.2942590714,4.4420843124
117,Map Displays for the Analysis of Scalar Data on Cerebral Aneurysm Surfaces,1.5902388096,6.3585968018,10.9553766251,1.6152300835
118,Visual Analysis of Brain Activity from fMRI Data,3.0627634525,5.5370469093,11.5520677567,5.4853897095
119,Preconceptions and Individual Differences in Understanding Visual Metaphors,10.6097517014,6.9420394897,8.8600559235,9.7319526672
120,"Comparing Parameter Manipulation with Mouse, Pen, and Slider User Interfaces",9.7212619781,7.8877277374,8.3265981674,9.6777572632
121,Extended Excentric Labeling,5.2032499313,6.6623544693,7.3713779449,3.8595285416
122,A Visualization Based Approach for Digital Signature Authentication,7.7817573547,7.464785099,9.8827638626,10.3635292053
123,SDViz: A Context-Preserving Interactive Visualization System for Technical Diagrams,9.1172571182,6.0352444649,6.3306865692,4.7170510292
124,Visualization Techniques for Schedule Comparison,9.0805683136,6.0433793068,10.7707605362,8.4208402634
125,Visualization of vessel movements,6.877559185,9.2629480362,11.2472696304,1.9173020124
126,Fully Automatic Visualisation of Overlapping Sets,7.3954544067,4.8786540031,6.3774089813,4.5848865509
127,Visualizing the Evolution of Compound Digraphs with TimeArcTrees,7.8095450401,3.649718523,5.208381176,5.4130768776
128,Force-Directed Edge Bundling for Graph Visualization,7.794362545,2.4077484608,4.5490694046,4.8798422813
129,"Scalable, Versatile and Simple Constrained Graph Layout",7.4048428535,2.7881705761,5.380818367,5.3883357048
130,Enclosing Surfaces for Point Clusters Using 3D Discrete Voronoi Diagrams,3.4508547783,8.1810922623,7.3973879814,4.9205989838
131,On Visualization and Reconstruction from Non-Uniform Point Sets using B-splines,3.563860178,7.796544075,9.5131177902,3.2396121025
132,Quasi-interpolation on the Body Centered Cubic Lattice,2.7723340988,8.212310791,8.2293767929,3.1873366833
133,High-Quality Volumetric Reconstruction on Optimal Lattices for Computed Tomography,3.5635745525,7.2855768204,8.2691335678,3.2212715149
134,Collaborative Brushing and Linking for Co-located Visual Analytics of Document Collections,9.9700469971,5.8168120384,9.429857254,9.8408737183
135,DocuBurst: Visualizing Document Content using Language Structure,10.2355394363,4.5827074051,6.4067487717,9.4056167603
136,The Chinese Room: Visualization and Interaction to Understand and Correct Ambiguous Machine Translation,10.286397934,4.8562750816,7.1788420677,8.9565486908
137,Isosurface Similarity Maps,4.0352115631,8.2130861282,11.5367288589,3.2396478653
138,An Exploratory Technique for Coherent Visualization of Time-varying Volume Data,4.6242756844,7.8251051903,10.1285896301,5.1358780861
139,Evaluation of Cluster Identification Performance for Different PCP Variants,6.1297659874,5.9412274361,7.897342205,5.5916852951
140,Supporting Exploratory Analysis with the Select & Slice Table,7.9430117607,5.3575930595,8.3997077942,6.4738516808
141,Brushing Moments in Interactive Visual Analysis,6.6839809418,5.7942781448,9.8606071472,2.1063673496
142,Visualizing Summary Statistics and Uncertainty,7.2528419495,6.2025961876,8.2767820358,5.3091435432
143,SmallWorlds: Visualizing Social Recommendations,8.7899017334,3.7627696991,8.8344993591,8.3497133255
144,Image-Based Edge Bundles: Simplified Visualization of Large Graphs,7.7523612976,2.5680027008,4.6516647339,5.0218691826
145,Winding Roads: Routing edges into bundles,7.7023119926,2.4275069237,4.693295002,5.0278687477
146,GraphDice: A System for Exploring Multivariate Social Networks,8.9387264252,3.2530426979,12.4047269821,7.8640732765
147,Out-of-Core Simplification and Crack-Free LOD Volume Rendering for Irregular Grids,3.3898928165,8.022644043,9.998541832,3.9096240997
148,A Multidirectional Occlusion Shading Model for Direct Volume Rendering,4.0217905045,7.1807117462,10.4422578812,4.2619338036
149,Estimation and Modeling of Actual Numerical Errors in Volume Rendering,3.8632211685,7.2760429382,10.162899971,4.6970014572
150,Hardware-Assisted Projected Tetrahedra,3.7563791275,7.6668453217,9.9645500183,4.1114106178
151,Space-in-Time and Time-in-Space Self-Organizing Maps for Exploring Spatiotemporal Patterns,6.614897728,8.4563894272,7.3051671982,4.8070721626
152,Alleviating the Modifiable Areal Unit Problem within Probe-Based Geospatial Analyses,6.3069410324,8.980556488,10.5487575531,8.0231590271
153,Real-Time Temporal-Coherent Color Contrast Enhancement for Dichromats,4.6259613037,6.703494072,6.9914245605,3.238077879
154,Accelerated Visualization of Dynamic Molecular Surfaces,2.3521375656,4.4716897011,12.2154417038,3.8592121601
155,Coherent Culling and Shading for Large Molecular Dynamics Visualization,4.0832381248,7.3749728203,10.5408287048,4.1904554367
156,Matrix Trees,5.0890464783,7.5376629829,6.2401456833,6.7104783058
157,Dynamic Multi-View Exploration of Shape Spaces,3.7474980354,6.613761425,10.9125928879,3.8216547966
158,HyperMoVal: Interactive Visual Validation of Regression Models for Real-Time Simulation,5.5166549683,7.862077713,9.4732837677,7.3973531723
159,Topological Landscape Ensembles for Visualization of Scalar-Valued Functions,3.5437955856,8.6914997101,9.3565940857,3.6445124149
160,Effective Techniques to Visualize Filament-Surface Relationships,2.8371937275,6.6897363663,6.7419266701,4.3050022125
161,Illustrative White Matter Fiber Bundles,2.2227430344,7.2109475136,8.9723014832,2.7387735844
162,DTI in Context: Illustrating Brain Fiber Tracts In Situ,2.3822791576,7.0899152756,9.1366910934,2.7465500832
163,An Interactive Visual Analytics System for Bridge Management,8.1570005417,9.1711940765,9.3883199692,8.7188005447
164,Pathline: A Tool For Comparative Functional Genomics,3.3703453541,3.9698648453,13.249417305,7.2545180321
165,Video Visualization for Snooker Skill Training,10.3391590118,9.4569301605,9.0145349503,12.1548080444
166,Scalable Multi-view Registration for Multi-Projector Displays on Vertically Extruded Surfaces,4.1793131828,6.6563563347,11.4109020233,2.9525001049
167,Streaming-Enabled Parallel Dataflow Architecture for Multicore Systems,5.281226635,7.6934518814,6.6346945763,5.7495937347
168,Topographic Map Visualization from Adaptively Compressed Textures,4.5558199883,7.5091505051,9.5133934021,3.9622182846
169,Visual Support for Interactive Post-Interventional Assessment of Radiofrequency Ablation Therapy,2.3493196964,6.45154953,11.8132686615,5.800766468
170,Reusable Visualizations and Animations for Surgery Planning,2.7635080814,6.5629372597,11.8956851959,5.8387060165
171,ProbExplorer: Uncertainty-guided Exploration and Editing of Probabilistic Medical Image Segmentation,2.9566779137,6.3816318512,11.7601079941,5.0634288788
172,Visual Analysis of Multi-Joint Kinematic Data,5.527569294,7.4948596954,7.7901864052,7.641181469
173,An Evaluation of Glyph Perception for Real Symmetric Traceless Tensor Properties,2.3441214561,7.895488739,8.6530847549,2.161154747
174,A Maximum Enhancing Higher-Order Tensor Glyph,2.3377776146,7.9005246162,8.7849931717,2.1301081181
175,Topology Aware Stream Surfaces,3.7009050846,8.3078575134,10.7644815445,2.835256815
176,Toward a Lagrangian Vector Field Topology,3.7698316574,9.1989822388,9.5254974365,2.5270824432
177,The Readability of Path-Preserving Clusterings of Graphs,7.8988361359,3.3346557617,5.5528693199,5.1141533852
178,A Salience-based Quality Metric for Visualization,8.6885147095,5.7527675629,8.372751236,7.6822762489
179,Understanding Interactive Legends: a Comparative Evaluation with Standard Widgets,9.7627630234,7.2152271271,8.8745117188,7.7396302223
180,The Perception of Correlation in Scatterplots,6.197371006,6.393532753,8.9216098785,5.4653410912
181,Non-iterative Second-order Approximation of Signed Distance Functions for Any Isosurface Representation,3.3854470253,8.2052507401,10.6670970917,2.9389538765
182,Topology-based Smoothing of 2D Scalar Fields with C1-Continuity,3.7450122833,8.0727643967,9.277422905,3.606849432
183,Multi-layer Depth Peeling by Single-Pass Rasterisation for Faster Isosurface Raytracing on GPUs,4.2811365128,7.4992713928,9.8800153732,4.0547876358
184,Visualization and Analysis-Oriented Reconstruction of Material Interfaces,3.5522136688,7.8925681114,10.1161546707,3.7407939434
185,Curve Density Estimates,4.7164034843,6.9047474861,10.4267244339,7.2448387146
186,Visual Coherence for Large-Scale Line-Plot Visualizations,5.1139111519,6.7375741005,8.8806705475,2.1141459942
187,Progressive Splatting of Continuous Scatterplots and Parallel Coordinates,4.8334860802,7.1348404884,8.6471681595,5.2864727974
188,Topology-based Visualization of Transformation Pathways in Complex Chemical Systems,2.7388150692,4.3574576378,9.3091201782,6.9404072762
189,Interactive Exploration of Protein Cavities,2.547590971,4.2084918022,12.4112672806,3.8482992649
190,Illustrative Molecular Visualization with Continuous Abstraction,2.2078626156,4.7668442726,12.0084218979,3.9325678349
191,A Visual Analytics Approach for Peak-Preserving Prediction of Large Seasonal Time Series,6.9695057869,7.5208001137,10.3146057129,7.4775209427
192,Visual Exploration of Time-Series Data with Shape Space Projections,6.8631129265,7.5903716087,9.4650497437,6.5456233025
193,Interactive Visual Analysis of Temporal Cluster Structures,6.9139685631,8.5628566742,7.2822442055,5.0499801636
194,PaperVis: Literature Review Made Easy,9.4414806366,4.161878109,7.881462574,9.2151870728
195,Exploring Collections of Tagged Text for Literary Scholarship,10.4797897339,4.5275402069,6.9232625961,9.2300491333
196,Semantic-Preserving Word Clouds by Seam Carving,10.6662569046,4.3256745338,6.3482656479,9.3918418884
197,Efficient Parallel Vectors Feature Extraction from Higher-Order Data,3.6343743801,8.8787784576,9.458688736,2.6323142052
198,Lagrangian Coherent Structures with Guaranteed Material Separation,3.8031556606,9.1773853302,10.0448045731,2.7726242542
199,Energy-scale Aware Feature Extraction for Flow Visualization,4.1989750862,8.6919441223,10.4471921921,1.9260143042
200,Visual Reconstructability as a Quality Metric for Flow Visualization,4.8487029076,7.1038775444,9.4939823151,2.940833807
201,A User Study of Visualization Effectiveness Using EEG and Cognitive Load,3.3066842556,5.4995846748,8.8462648392,8.3831338882
202,Evaluation of the Visibility of Vessel Movement Features in Trajectory Visualizations,6.889936924,9.0057535172,11.2752180099,1.9830038548
203,Perceptual Evaluation of Ghosted View Techniques for the Exploration of Vascular Structures and Embedded Flow,2.1240899563,6.4812936783,10.9877653122,1.6127724648
204,An Evaluation of Visualization Techniques to Illustrate Statistical Deformation Models,3.1743061543,6.8619031906,11.1597652435,5.4522981644
205,Complete Tensor Field Topology on 2D Triangulated Manifolds embedded in 3D,3.2720139027,8.7622346878,9.0043230057,2.2548093796
206,Topological Features in 2D Symmetric Higher-Order Tensor Fields,3.1328005791,8.7146501541,8.8789224625,2.1402459145
207,Stable Morse Decompositions for Piecewise Constant Vector Fields on Surfaces,3.4310443401,8.6259431839,9.5652170181,2.4889175892
208,Dynamic Insets for Context-Aware Graph Navigation,8.2914562225,3.6923053265,6.2664871216,6.03779459
209,Visual Boosting in Pixel-based Visualizations,5.9368824959,6.1584892273,6.9214200974,3.2867584229
210,The Undistort Lens,4.6764960289,6.9199390411,10.6661434174,5.2255253792
211,Assisted Descriptor Selection Based on Visual Comparative Data Analysis,7.1263523102,5.4209756851,8.7216720581,7.2569055557
212,Visualization of Time-Series Data in Parameter Space for Understanding Facial Dynamics,6.1793203354,7.3468132019,9.3522348404,6.6798734665
213,Uncertainty-Aware Exploration of Continuous Parameter Spaces Using Multivariate Prediction,5.9670009613,5.3170509338,11.3062419891,4.3913860321
214,Structural Decomposition Trees,7.1030020714,5.5949440002,7.9002313614,6.2254786491
215,Probabilistic Marching Cubes,4.0445103645,8.7015962601,9.3832178116,2.7135186195
216,Depth of Field Effects for Interactive Direct Volume Rendering,4.086107254,7.1420512199,10.2369146347,4.5069952011
217,Visualizing the Positional and Geometrical Variability of Isosurfaces in Uncertain Scalar Fields,4.0488152504,8.341794014,11.4414768219,3.1580324173
218,Fast Extraction of High-quality Crease Surfaces for Visual Analysis,3.7183485031,7.9526224136,9.9784288406,3.5401878357
219,Flowstrates: An Approach for Visual Exploration of Temporal Origin-Destination Data,7.0401368141,9.6757726669,10.3885068893,1.7940781116
220,Temporal Visualization of Boundary-based Geo-information Using Radial Projection,6.1518826485,9.0535163879,10.2596406937,6.1441903114
221,Visualization and Analysis of Eddies in a Global Ocean Simulation,5.2885861397,9.3603534698,12.43816185,4.6647405624
222,WaveMap: Interactively Discovering Features From Protein Flexibility Matrices Using Wavelet-based Visual Analytics,3.4595296383,4.4124164581,12.5666332245,4.1122140884
223,Visualising Errors in Animal Pedigree Genotype Data,3.7430281639,4.0474534035,6.9041771889,6.5099406242
224,Pathway Preserving Representation of Metabolic Networks,3.3943588734,3.9972987175,13.1589460373,7.693110466
225,A Shader Framework for Rapid Prototyping of GPU-Based Volume Rendering,4.4417867661,7.4145846367,10.0172290802,4.2003493309
226,Anatomy-Guided Multi-Level Exploration of Blood Flow in Cerebral Aneurysms,1.6215646267,6.3482518196,10.9041776657,1.6728526354
227,Prostate Cancer Visualization from MR Imagery and MR Spectroscopy,2.4979610443,6.2467932701,11.7409591675,5.913233757
228,Visualizing the Evolution of Community Structures in Dynamic Social Networks,9.0532674789,3.3766365051,12.0564460754,8.0891704559
229,ImPrEd: An Improved Force-Directed Algorithm that Prevents Nodes from Crossing Edges,7.4528365135,2.7139565945,4.9212031364,5.1641345024
230,Visual Recommendations for Network Navigation,8.5825738907,3.5566153526,12.4765625,8.0404262543
231,Piece wise Laplacian-based Projection for Interactive Data Exploration and Organization,5.7594356537,5.5898447037,7.6001405716,6.5962300301
232,A Gradient-Based Comparison Measure for Visual analysis of Multifield Data,4.8034033775,8.7600822449,9.1308412552,3.5455498695
233,A Framework for Exploring Multidimensional Data with 3D Projections,5.7773485184,5.6431903839,7.6064662933,6.6062293053
234,Visualizing High-Dimensional Structures by Dimension Ordering and Filtering using Subspace Analysis,6.0814886093,5.2721781731,7.7184429169,5.7311306
235,Tablorer @ An Interactive Tree Visualization System for Tablet PCs,9.6883888245,7.6981043816,8.0943202972,10.3026218414
236,Comparison of Multiple Weighted Hierarchies: Visual Analytics for Microbe Community Profiling,8.8366374969,3.5360832214,6.1714849472,7.2453050613
237,In-situ Sampling of a Large-Scale Particle Simulation for Interactive Visualization and Analysis,4.9629950523,8.644452095,9.417429924,4.7446255684
238,Automatic Registration of Multi-Projector Domes Using a Single Uncalibrated Camera,4.2580008507,6.7036495209,11.4384069443,2.9185914993
239,"Computing Voronoi Treemaps: Faster, Simpler, and Resolution-independent",7.0670218468,4.7427735329,6.4086322784,4.6812019348
240,Graph Bundling by Kernel Density Estimation,7.7571768761,2.4068470001,4.6065058708,4.8778753281
241,Kelp Diagrams: Point Set Membership Visualization,7.3952970505,4.3922085762,6.3664398193,4.6523737907
242,Interactive Visualization of Generalized Virtual 3D City Models using Level-of-Abstraction Transitions,10.3803892136,8.1171627045,9.673002243,8.9950437546
243,Multi-layer illustrative dense flow visualization,4.0077662468,8.2445011139,10.7745571136,2.8644151688
244,Illustrative Membrane Clipping,3.7862627506,7.3632688522,10.6164093018,4.8532385826
245,Scalable Detection of Spatiotemporal Encounters in Historical Movement Data,7.1395115852,8.9771165848,11.1462392807,8.2495260239
