,Opening,Colour,Num Games,ECO,Last Played,Perf Rating,Avg Player,Player Win %,Draw %,Opponent Win %,Moves,moves_list,move1w,move1b,move2w,move2b,move3w,move3b,move4w,move4b,White_win%,Black_win%,White_odds,White_Wins,Black_Wins
13,"Alekhine Defense, Modern Variation, Keres Variation",white,269,B04,2018-03-04,2442,2383,45.7,36.4,17.8,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 g6 5.Bc4 Nb6 6.Bb3 Bg7 7.a4,"['1.e4', 'Nf6', '2.e5', 'Nd5', '3.d4', 'd6', '4.Nf3', 'g6', '5.Bc4', 'Nb6', '6.Bb3', 'Bg7', '7.a4']",e4,Nf6,e5,Nd5,d4,d6,Nf3,g6,45.7,17.8,2.567415730337079,122.933,47.882
14,"Alekhine Defense, Modern Variation, Larsen Variation",black,1187,B04,2018-06-21,2243,2283,22.8,35.7,41.5,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 dxe5,"['1.e4', 'Nf6', '2.e5', 'Nd5', '3.d4', 'd6', '4.Nf3', 'dxe5']",e4,Nf6,e5,Nd5,d4,d6,Nf3,dxe5,41.5,22.8,1.8201754385964912,492.605,270.636
15,"Alekhine Defense, Modern Variation, Larsen Variation, Miles Line",black,1481,B04,2018-06-18,2273,2306,25.9,35.9,38.2,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 dxe5 5.Nxe5 c6,"['1.e4', 'Nf6', '2.e5', 'Nd5', '3.d4', 'd6', '4.Nf3', 'dxe5', '5.Nxe5', 'c6']",e4,Nf6,e5,Nd5,d4,d6,Nf3,dxe5,38.2,25.9,1.474903474903475,565.7420000000001,383.579
16,"Alekhine Defense, Modern Variation, Larsen-Haakert Variation",black,685,B04,2018-06-25,2171,2193,32.3,21.5,46.3,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 Nc6,"['1.e4', 'Nf6', '2.e5', 'Nd5', '3.d4', 'd6', '4.Nf3', 'Nc6']",e4,Nf6,e5,Nd5,d4,d6,Nf3,Nc6,46.3,32.3,1.43343653250774,317.155,221.25499999999997
17,"Alekhine Defense, Modern Variation, Main Line",black,5096,B05,2018-07-02,2209,2269,25.1,30.2,44.8,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 Bg4,"['1.e4', 'Nf6', '2.e5', 'Nd5', '3.d4', 'd6', '4.Nf3', 'Bg4']",e4,Nf6,e5,Nd5,d4,d6,Nf3,Bg4,44.8,25.1,1.784860557768924,2283.008,1279.096
18,"Alekhine Defense, Modern Variation, Panov Variation",white,183,B05,2018-05-31,2305,2269,44.3,22.4,33.3,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 Bg4 5.h3,"['1.e4', 'Nf6', '2.e5', 'Nd5', '3.d4', 'd6', '4.Nf3', 'Bg4', '5.h3']",e4,Nf6,e5,Nd5,d4,d6,Nf3,Bg4,44.3,33.3,1.3303303303303304,81.069,60.93899999999999
19,"Alekhine Defense, Modern Variation, Schmid Variation",black,688,B04,2018-07-04,2300,2333,31.7,34.3,34.0,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 Nb6,"['1.e4', 'Nf6', '2.e5', 'Nd5', '3.d4', 'd6', '4.Nf3', 'Nb6']",e4,Nf6,e5,Nd5,d4,d6,Nf3,Nb6,34.0,31.7,1.0725552050473186,233.92,218.09599999999998
20,"Alekhine Defense, Normal Variation",black,981,B02,2018-06-30,2142,2173,34.0,26.7,39.3,1.e4 Nf6 2.e5 Nd5,"['1.e4', 'Nf6', '2.e5', 'Nd5']",e4,Nf6,e5,Nd5,,,,,39.3,34.0,1.1558823529411764,385.53299999999996,333.54
21,"Alekhine Defense, Normal Variation",black,1178,B03,2018-06-27,2128,2159,41.3,26.8,31.8,1.e4 Nf6 2.e5 Nd5 3.d4 d6,"['1.e4', 'Nf6', '2.e5', 'Nd5', '3.d4', 'd6']",e4,Nf6,e5,Nd5,d4,d6,,,31.8,41.3,0.7699757869249395,374.60400000000004,486.51399999999995
22,"Alekhine Defense, Saemisch Attack",white,1452,B02,2018-07-06,2244,2212,37.0,29.9,33.1,1.e4 Nf6 2.e5 Nd5 3.Nc3,"['1.e4', 'Nf6', '2.e5', 'Nd5', '3.Nc3']",e4,Nf6,e5,Nd5,Nc3,,,,37.0,33.1,1.1178247734138973,537.24,480.612
23,"Alekhine Defense, Scandinavian Variation",black,4898,B02,2018-06-24,2133,2153,39.4,28.4,32.2,1.e4 Nf6 2.Nc3 d5,"['1.e4', 'Nf6', '2.Nc3', 'd5']",e4,Nf6,Nc3,d5,,,,,32.2,39.4,0.8172588832487311,1577.156,1929.812
24,"Alekhine Defense, Spielmann Gambit",white,140,B02,2017-11-19,2260,2208,40.0,17.9,42.1,1.e4 Nf6 2.Nc3 d5 3.e5 Nfd7 4.e6,"['1.e4', 'Nf6', '2.Nc3', 'd5', '3.e5', 'Nfd7', '4.e6']",e4,Nf6,Nc3,d5,e5,Nfd7,e6,,40.0,42.1,0.9501187648456056,56.0,58.94
25,"Alekhine Defense, Two Pawn Attack",white,397,B02,2018-06-23,1981,1958,36.0,18.4,45.6,1.e4 Nf6 2.e5 Nd5 3.c4,"['1.e4', 'Nf6', '2.e5', 'Nd5', '3.c4']",e4,Nf6,e5,Nd5,c4,,,,36.0,45.6,0.7894736842105263,142.92,181.032
26,"Alekhine Defense, Two Pawn Attack, Lasker Variation",white,964,B02,2018-06-30,2209,2202,32.9,30.3,36.8,1.e4 Nf6 2.e5 Nd5 3.c4 Nb6 4.c5,"['1.e4', 'Nf6', '2.e5', 'Nd5', '3.c4', 'Nb6', '4.c5']",e4,Nf6,e5,Nd5,c4,Nb6,c5,,32.9,36.8,0.8940217391304348,317.156,354.75199999999995
27,"Anderssen Opening, General",white,1308,A00,2018-06-25,2124,2126,35.7,25.6,38.7,1.a3,['1.a3'],a3,,,,,,,,35.7,38.7,0.9224806201550387,466.9560000000001,506.1960000000001
28,"Benko Gambit, Accepted, Central Storming Variation",white,209,A57,2018-02-01,2265,2245,39.2,22.5,38.3,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.bxa6 g6 6.Nc3 Bxa6 7.f4,"['1.d4', 'Nf6', '2.c4', 'c5', '3.d5', 'b5', '4.cxb5', 'a6', '5.bxa6', 'g6', '6.Nc3', 'Bxa6', '7.f4']",d4,Nf6,c4,c5,d5,b5,cxb5,a6,39.2,38.3,1.0234986945169715,81.92800000000001,80.047
29,"Benko Gambit, Accepted, Dlugy Variation",white,1526,A57,2018-06-24,2290,2271,42.0,25.0,33.0,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.f3,"['1.d4', 'Nf6', '2.c4', 'c5', '3.d5', 'b5', '4.cxb5', 'a6', '5.f3']",d4,Nf6,c4,c5,d5,b5,cxb5,a6,42.0,33.0,1.2727272727272727,640.92,503.58
30,"Benko Gambit, Accepted, Fianchetto Variation",white,2823,A58,2018-07-01,2288,2270,42.5,29.2,28.3,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.bxa6 Bxa6 6.Nc3 g6 7.Nf3 d6 8.g3 Bg7 9.Bg2,"['1.d4', 'Nf6', '2.c4', 'c5', '3.d5', 'b5', '4.cxb5', 'a6', '5.bxa6', 'Bxa6', '6.Nc3', 'g6', '7.Nf3', 'd6', '8.g3', 'Bg7', '9.Bg2']",d4,Nf6,c4,c5,d5,b5,cxb5,a6,42.5,28.3,1.5017667844522968,1199.775,798.9090000000001
31,"Benko Gambit, Accepted, Fully Accepted Variation",white,4326,A58,2018-07-07,2274,2260,37.9,30.3,31.7,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.bxa6,"['1.d4', 'Nf6', '2.c4', 'c5', '3.d5', 'b5', '4.cxb5', 'a6', '5.bxa6']",d4,Nf6,c4,c5,d5,b5,cxb5,a6,37.9,31.7,1.195583596214511,1639.5539999999999,1371.3419999999999
32,"Benko Gambit, Accepted, King Walk Variation",white,1706,A59,2018-07-07,2314,2275,41.4,34.1,24.6,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.bxa6 Bxa6 6.Nc3 d6 7.e4 Bxf1 8.Kxf1 g6 9.g3 Bg7 10.Kg2 O-O 11.Nf3,"['1.d4', 'Nf6', '2.c4', 'c5', '3.d5', 'b5', '4.cxb5', 'a6', '5.bxa6', 'Bxa6', '6.Nc3', 'd6', '7.e4', 'Bxf1', '8.Kxf1', 'g6', '9.g3', 'Bg7', '10.Kg2', 'O-O', '11.Nf3']",d4,Nf6,c4,c5,d5,b5,cxb5,a6,41.4,24.6,1.6829268292682926,706.284,419.67600000000004
33,"Benko Gambit, Accepted, Modern Variation",white,1982,A57,2018-07-07,2340,2305,43.4,28.0,28.6,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.e3,"['1.d4', 'Nf6', '2.c4', 'c5', '3.d5', 'b5', '4.cxb5', 'a6', '5.e3']",d4,Nf6,c4,c5,d5,b5,cxb5,a6,43.4,28.6,1.5174825174825173,860.188,566.8520000000001
34,"Benko Gambit, Accepted, Pawn Return Variation",white,3610,A57,2018-06-24,2242,2226,39.6,26.3,34.0,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.b6,"['1.d4', 'Nf6', '2.c4', 'c5', '3.d5', 'b5', '4.cxb5', 'a6', '5.b6']",d4,Nf6,c4,c5,d5,b5,cxb5,a6,39.6,34.0,1.1647058823529413,1429.56,1227.4
35,"Benko Gambit, Accepted, Yugoslav with 7...Bxf1, Nge2",white,172,A59,2018-07-07,2228,2223,40.7,20.4,39.0,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.bxa6 Bxa6 6.Nc3 d6 7.e4 Bxf1 8.Kxf1 g6 9.Nge2,"['1.d4', 'Nf6', '2.c4', 'c5', '3.d5', 'b5', '4.cxb5', 'a6', '5.bxa6', 'Bxa6', '6.Nc3', 'd6', '7.e4', 'Bxf1', '8.Kxf1', 'g6', '9.Nge2']",d4,Nf6,c4,c5,d5,b5,cxb5,a6,40.7,39.0,1.0435897435897437,70.004,67.08
36,"Benko Gambit, Accepted, Yugoslav without 7...Bxf1",white,338,A59,2018-06-25,2147,2136,36.7,28.7,34.6,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.bxa6 Bxa6 6.Nc3 d6 7.e4,"['1.d4', 'Nf6', '2.c4', 'c5', '3.d5', 'b5', '4.cxb5', 'a6', '5.bxa6', 'Bxa6', '6.Nc3', 'd6', '7.e4']",d4,Nf6,c4,c5,d5,b5,cxb5,a6,36.7,34.6,1.060693641618497,124.046,116.94800000000001
37,"Benko Gambit, Declined, Bishop Attack",white,160,A57,2018-05-25,2302,2249,40.6,29.4,30.0,1.d4 Nf6 2.c4 c5 3.d5 b5 4.Bg5,"['1.d4', 'Nf6', '2.c4', 'c5', '3.d5', 'b5', '4.Bg5']",d4,Nf6,c4,c5,d5,b5,Bg5,,40.6,30.0,1.3533333333333333,64.96,48.0
38,"Benko Gambit, Declined, Main Line",white,3039,A57,2018-06-29,2354,2319,45.2,27.8,27.0,1.d4 Nf6 2.c4 c5 3.d5 b5 4.Nf3,"['1.d4', 'Nf6', '2.c4', 'c5', '3.d5', 'b5', '4.Nf3']",d4,Nf6,c4,c5,d5,b5,Nf3,,45.2,27.0,1.6740740740740743,1373.6280000000002,820.53
39,"Benko Gambit, Declined, Pseudo-Saemisch",white,204,A57,2018-06-27,2169,2182,41.2,17.2,41.7,1.d4 Nf6 2.c4 c5 3.d5 b5 4.f3,"['1.d4', 'Nf6', '2.c4', 'c5', '3.d5', 'b5', '4.f3']",d4,Nf6,c4,c5,d5,b5,f3,,41.2,41.7,0.988009592326139,84.04800000000002,85.06800000000001
40,"Benko Gambit, Declined, Quiet Line",white,662,A57,2018-06-27,2311,2291,44.4,24.8,30.8,1.d4 Nf6 2.c4 c5 3.d5 b5 4.Nd2,"['1.d4', 'Nf6', '2.c4', 'c5', '3.d5', 'b5', '4.Nd2']",d4,Nf6,c4,c5,d5,b5,Nd2,,44.4,30.8,1.4415584415584415,293.928,203.89600000000002
41,"Benko Gambit, Declined, Sosonko Variation",white,688,A57,2018-05-12,2224,2214,35.6,26.0,38.4,1.d4 Nf6 2.c4 c5 3.d5 b5 4.a4,"['1.d4', 'Nf6', '2.c4', 'c5', '3.d5', 'b5', '4.a4']",d4,Nf6,c4,c5,d5,b5,a4,,35.6,38.4,0.9270833333333334,244.928,264.192
42,"Benko Gambit, General",black,1776,A57,2018-07-07,2118,2125,42.3,21.6,36.0,1.d4 Nf6 2.c4 c5 3.d5 b5,"['1.d4', 'Nf6', '2.c4', 'c5', '3.d5', 'b5']",d4,Nf6,c4,c5,d5,b5,,,36.0,42.3,0.851063829787234,639.36,751.2479999999999
43,"Benko Gambit, Zaitsev System",white,665,A58,2018-06-17,2069,2077,32.3,20.1,47.5,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.Nc3,"['1.d4', 'Nf6', '2.c4', 'c5', '3.d5', 'b5', '4.cxb5', 'a6', '5.Nc3']",d4,Nf6,c4,c5,d5,b5,cxb5,a6,32.3,47.5,0.6799999999999999,214.79499999999996,315.875
44,"Benko Gambit, Zaitsev Variation, Nescafe Frappe Attack",white,657,A57,2018-06-27,2231,2230,37.3,16.6,46.1,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.Nc3 axb5 6.e4 b4 7.Nb5,"['1.d4', 'Nf6', '2.c4', 'c5', '3.d5', 'b5', '4.cxb5', 'a6', '5.Nc3', 'axb5', '6.e4', 'b4', '7.Nb5']",d4,Nf6,c4,c5,d5,b5,cxb5,a6,37.3,46.1,0.8091106290672451,245.06099999999998,302.877
45,"Benoni Defense, Benoni Gambit Accepted",white,622,A43,2018-06-23,2102,2113,31.0,24.3,44.7,1.d4 c5 2.dxc5,"['1.d4', 'c5', '2.dxc5']",d4,c5,dxc5,,,,,,31.0,44.7,0.6935123042505592,192.82,278.034
46,"Benoni Defense, Benoni Gambit, Schlenker Defense",black,113,A43,2018-01-30,2237,2234,38.9,29.2,31.9,1.d4 c5 2.dxc5 Na6,"['1.d4', 'c5', '2.dxc5', 'Na6']",d4,c5,dxc5,Na6,,,,,31.9,38.9,0.8200514138817481,36.047,43.957
47,"Benoni Defense, Benoni-Indian Defense",black,1135,A43,2018-07-07,2190,2235,28.8,26.0,45.2,1.d4 c5 2.d5 Nf6,"['1.d4', 'c5', '2.d5', 'Nf6']",d4,c5,d5,Nf6,,,,,45.2,28.8,1.5694444444444444,513.02,326.88
48,"Benoni Defense, Benoni-Indian Defense, Kingside move order",white,4016,A43,2018-07-03,2349,2306,45.6,27.9,26.5,1.d4 c5 2.d5 Nf6 3.Nf3,"['1.d4', 'c5', '2.d5', 'Nf6', '3.Nf3']",d4,c5,d5,Nf6,Nf3,,,,45.6,26.5,1.7207547169811321,1831.296,1064.24
49,"Benoni Defense, Classical Variation, Argentine Counterattack",black,468,A75,2018-06-26,2309,2342,33.8,29.5,36.8,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Be2 O-O 9.O-O a6 10.a4 Bg4,"['1.d4', 'Nf6', '2.c4', 'c5', '3.d5', 'e6', '4.Nc3', 'exd5', '5.cxd5', 'd6', '6.e4', 'g6', '7.Nf3', 'Bg7', '8.Be2', 'O-O', '9.O-O', 'a6', '10.a4', 'Bg4']",d4,Nf6,c4,c5,d5,e6,Nc3,exd5,36.8,33.8,1.0887573964497042,172.224,158.18399999999997
50,"Benoni Defense, Classical Variation, Averbakh-Grivas Attack",white,570,A71,2018-06-10,2354,2299,47.0,21.9,31.1,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Bg5,"['1.d4', 'Nf6', '2.c4', 'c5', '3.d5', 'e6', '4.Nc3', 'exd5', '5.cxd5', 'd6', '6.e4', 'g6', '7.Nf3', 'Bg7', '8.Bg5']",d4,Nf6,c4,c5,d5,e6,Nc3,exd5,47.0,31.1,1.5112540192926045,267.9,177.27
51,"Benoni Defense, Classical Variation, Czerniak Defense",black,223,A76,2018-05-31,2216,2245,38.1,26.9,35.0,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Be2 O-O 9.O-O Re8,"['1.d4', 'Nf6', '2.c4', 'c5', '3.d5', 'e6', '4.Nc3', 'exd5', '5.cxd5', 'd6', '6.e4', 'g6', '7.Nf3', 'Bg7', '8.Be2', 'O-O', '9.O-O', 'Re8']",d4,Nf6,c4,c5,d5,e6,Nc3,exd5,35.0,38.1,0.9186351706036745,78.05,84.96300000000001
52,"Benoni Defense, Classical Variation, Czerniak Defense",black,270,A78,2018-06-26,2355,2338,36.3,29.6,34.1,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Be2 O-O 9.O-O Re8 10.Nd2 Na6,"['1.d4', 'Nf6', '2.c4', 'c5', '3.d5', 'e6', '4.Nc3', 'exd5', '5.cxd5', 'd6', '6.e4', 'g6', '7.Nf3', 'Bg7', '8.Be2', 'O-O', '9.O-O', 'Re8', '10.Nd2', 'Na6']",d4,Nf6,c4,c5,d5,e6,Nc3,exd5,34.1,36.3,0.9393939393939396,92.07,98.01
53,"Benoni Defense, Classical Variation, Czerniak Defense",white,414,A79,2018-06-29,2446,2391,45.2,28.3,26.6,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Be2 O-O 9.O-O Re8 10.Nd2 Na6 11.f3,"['1.d4', 'Nf6', '2.c4', 'c5', '3.d5', 'e6', '4.Nc3', 'exd5', '5.cxd5', 'd6', '6.e4', 'g6', '7.Nf3', 'Bg7', '8.Be2', 'O-O', '9.O-O', 'Re8', '10.Nd2', 'Na6', '11.f3']",d4,Nf6,c4,c5,d5,e6,Nc3,exd5,45.2,26.6,1.699248120300752,187.12800000000004,110.12400000000001
54,"Benoni Defense, Classical Variation, Czerniak Defense, Tal Line",white,903,A77,2018-07-09,2371,2342,42.8,25.9,31.3,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Be2 O-O 9.O-O Re8 10.Nd2,"['1.d4', 'Nf6', '2.c4', 'c5', '3.d5', 'e6', '4.Nc3', 'exd5', '5.cxd5', 'd6', '6.e4', 'g6', '7.Nf3', 'Bg7', '8.Be2', 'O-O', '9.O-O', 'Re8', '10.Nd2']",d4,Nf6,c4,c5,d5,e6,Nc3,exd5,42.8,31.3,1.3674121405750796,386.4839999999999,282.639
55,"Benoni Defense, Classical Variation, Full line",white,193,A74,2018-02-03,2208,2164,43.0,22.8,34.2,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Be2 O-O 9.O-O a6 10.a4,"['1.d4', 'Nf6', '2.c4', 'c5', '3.d5', 'e6', '4.Nc3', 'exd5', '5.cxd5', 'd6', '6.e4', 'g6', '7.Nf3', 'Bg7', '8.Be2', 'O-O', '9.O-O', 'a6', '10.a4']",d4,Nf6,c4,c5,d5,e6,Nc3,exd5,43.0,34.2,1.2573099415204678,82.99,66.006
56,"Benoni Defense, Classical Variation, General",white,1833,A70,2018-06-23,2261,2229,35.0,25.2,39.8,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3,"['1.d4', 'Nf6', '2.c4', 'c5', '3.d5', 'e6', '4.Nc3', 'exd5', '5.cxd5', 'd6', '6.e4', 'g6', '7.Nf3']",d4,Nf6,c4,c5,d5,e6,Nc3,exd5,35.0,39.8,0.8793969849246231,641.55,729.534
57,"Benoni Defense, Classical Variation, Main line",white,555,A73,2018-05-27,2296,2283,35.9,30.8,33.3,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Be2 O-O 9.O-O,"['1.d4', 'Nf6', '2.c4', 'c5', '3.d5', 'e6', '4.Nc3', 'exd5', '5.cxd5', 'd6', '6.e4', 'g6', '7.Nf3', 'Bg7', '8.Be2', 'O-O', '9.O-O']",d4,Nf6,c4,c5,d5,e6,Nc3,exd5,35.9,33.3,1.078078078078078,199.245,184.815
58,"Benoni Defense, Classical Variation, New York Variation",white,2454,A70,2018-06-30,2381,2319,43.9,32.5,23.6,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.h3,"['1.d4', 'Nf6', '2.c4', 'c5', '3.d5', 'e6', '4.Nc3', 'exd5', '5.cxd5', 'd6', '6.e4', 'g6', '7.Nf3', 'Bg7', '8.h3']",d4,Nf6,c4,c5,d5,e6,Nc3,exd5,43.9,23.6,1.8601694915254237,1077.3059999999998,579.144
59,"Benoni Defense, Classical Variation, Traditional Variation",white,255,A72,2018-06-29,2260,2246,34.1,31.0,34.9,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Be2,"['1.d4', 'Nf6', '2.c4', 'c5', '3.d5', 'e6', '4.Nc3', 'exd5', '5.cxd5', 'd6', '6.e4', 'g6', '7.Nf3', 'Bg7', '8.Be2']",d4,Nf6,c4,c5,d5,e6,Nc3,exd5,34.1,34.9,0.9770773638968482,86.955,88.995
60,"Benoni Defense, Czech Benoni Defense",black,3847,A56,2018-06-23,2253,2303,30.3,27.9,41.9,1.d4 Nf6 2.c4 c5 3.d5 e5,"['1.d4', 'Nf6', '2.c4', 'c5', '3.d5', 'e5']",d4,Nf6,c4,c5,d5,e5,,,41.9,30.3,1.3828382838283828,1611.8929999999998,1165.641
